id_transaccion,id_cliente,fecha,monto_venta,categoria
1,CUST-103,2025-10-08,377.48,Electrónica
2,CUST-436,2025-10-10,149.44,Hogar
3,CUST-349,2026-01-26,215.78,Moda
4,CUST-271,2025-04-16,198.32,Moda
5,CUST-107,2026-02-17,427.53,Moda
6,CUST-072,2025-10-27,387.97,Moda
7,CUST-189,2025-04-17,298.6,Moda
8,CUST-021,2025-02-05,144.73,Electrónica
9,CUST-103,2025-05-27,469.61,Hogar
10,CUST-122,2025-09-19,330.12,Alimentos
11,CUST-467,2026-02-13,485.53,Hogar
12,CUST-215,2025-06-08,294.26,Hogar
13,CUST-331,2025-09-22,412.38,Electrónica
14,CUST-459,2025-07-21,408.42,Electrónica
15,CUST-088,2025-06-04,175.29,Electrónica
16,CUST-373,2025-01-13,482.37,Electrónica
17,CUST-100,2025-10-24,20.75,Hogar
18,CUST-360,2026-01-19,386.67,Moda
19,CUST-152,2025-11-18,483.12,Moda
20,CUST-131,2025-03-26,176.07,Electrónica
21,CUST-150,2025-10-07,327.57,Alimentos
22,CUST-309,2025-09-02,285.49,Hogar
23,CUST-258,2025-10-27,383.14,Hogar
24,CUST-344,2025-12-28,434.43,Alimentos
25,CUST-492,2025-12-20,305.49,Electrónica
26,CUST-414,2025-11-12,409.79,Hogar
27,CUST-294,2025-01-09,163.02,Alimentos
28,CUST-386,2026-01-21,122.01,Moda
29,CUST-192,2025-09-04,221.03,Alimentos
30,CUST-444,2025-11-08,342.09,Alimentos
31,CUST-277,2026-02-18,101.75,Electrónica
32,CUST-161,2025-10-05,343.37,Hogar
33,CUST-460,2025-08-26,203.11,Alimentos
34,CUST-314,2025-07-22,399.83,Hogar
35,CUST-022,2025-09-04,28.05,Hogar
36,CUST-253,2025-08-23,337.31,Electrónica
37,CUST-236,2025-03-22,328.41,Moda
38,CUST-345,2025-12-22,471.06,Hogar
39,CUST-049,2025-01-13,359.55,Electrónica
40,CUST-475,2025-11-23,400.19,Electrónica
41,CUST-059,2025-01-16,453.25,Alimentos
42,CUST-170,2025-02-14,340.78,Hogar
43,CUST-476,2025-11-17,152.18,Electrónica
44,CUST-188,2025-05-19,436.19,Moda
45,CUST-464,2025-11-22,376.31,Alimentos
46,CUST-271,2025-05-28,217.97,Moda
47,CUST-190,2025-12-21,358.16,Electrónica
48,CUST-446,2025-08-24,435.17,Alimentos
49,CUST-175,2025-07-10,488.07,Hogar
50,CUST-446,2025-04-11,476.65,Alimentos
51,CUST-051,2025-04-15,169.41,Alimentos
52,CUST-364,2025-09-07,216.63,Moda
53,CUST-055,2026-01-31,63.67,Hogar
54,CUST-244,2025-04-04,131.3,Electrónica
55,CUST-320,2025-08-08,442.39,Moda
56,CUST-131,2025-10-25,186.82,Hogar
57,CUST-485,2025-12-05,314.07,Electrónica
58,CUST-307,2025-05-13,336.32,Alimentos
59,CUST-135,2025-12-27,393.1,Hogar
60,CUST-021,2025-06-04,99.57,Moda
61,CUST-329,2025-01-28,159.36,Electrónica
62,CUST-167,2025-10-09,229.68,Electrónica
63,CUST-274,2025-04-26,188.77,Hogar
64,CUST-388,2025-11-01,491.62,Hogar
65,CUST-089,2025-08-22,419.12,Alimentos
66,CUST-316,2026-02-09,245.05,Electrónica
